Player,Team,Amount,Year
Yusuf Abdulla,Kings XI Punjab,4076500.0,2010.0
Gautam Gambhir,Kolkata Knight Riders,195672000.0,2011.0
Yusuf Pathan,Kolkata Knight Riders,171213000.0,2011.0
Robin Uthappa,Pune Warriors India,171213000.0,2011.0
Rohit Sharma,Mumbai Indians,163060000.0,2011.0
Irfan Pathan,Delhi Daredevils,154907000.0,2011.0
Yuvraj Singh,Pune Warriors India,146754000.0,2011.0
Saurabh Tiwary,Royal Challengers Bangalore,130448000.0,2011.0
Mahela Jayawardene,Kochi Tuskers Kerala,122295000.0,2011.0
David Hussey,Kings XI Punjab,114142000.0,2011.0
Dale Steyn,Deccan Chargers,97836000.0,2011.0
Muttiah Muralitharan,Kochi Tuskers Kerala,89683000.0,2011.0
Cameron White,Deccan Chargers,89683000.0,2011.0
Jacques Kallis,Kolkata Knight Riders,89683000.0,2011.0
AB de Villiers,Royal Challengers Bangalore,89683000.0,2011.0
Ross Taylor,Rajasthan Royals,81530000.0,2011.0
Angelo Mathews,Pune Warriors India,77453500.0,2011.0
Ravindra Jadeja,Kochi Tuskers Kerala,77453500.0,2011.0
Johan Botha,Rajasthan Royals,77453500.0,2011.0
Dinesh Karthik,Kings XI Punjab,73377000.0,2011.0
Piyush Chawla,Kings XI Punjab,73377000.0,2011.0
Sreesanth,Kochi Tuskers Kerala,73377000.0,2011.0
Adam Gilchrist,Kings XI Punjab,73377000.0,2011.0
Zaheer Khan,Royal Challengers Bangalore,73377000.0,2011.0
Dan Christian,Deccan Chargers,73377000.0,2011.0
Ravichandran Ashwin,Chennai Super Kings,69300500.0,2011.0
Ashish Nehra,Pune Warriors India,69300500.0,2011.0
Andrew Symonds,Mumbai Indians,69300500.0,2011.0
Subramaniam Badrinath,Chennai Super Kings,65224000.0,2011.0
Praveen Kumar,Kings XI Punjab,65224000.0,2011.0
Abhishek Nayar,Kings XI Punjab,65224000.0,2011.0
David Warner,Delhi Daredevils,61147500.0,2011.0
Umesh Yadav,Delhi Daredevils,61147500.0,2011.0
Munaf Patel,Mumbai Indians,57071000.0,2011.0
Venugopal Rao,Delhi Daredevils,57071000.0,2011.0
Kumar Sangakkara,Deccan Chargers,57071000.0,2011.0
