Player,Team,Amount,Year
Robin Uthappa,Pune Warriors,2100000.0,2011.0
Rohit Sharma,Mumbai Indians,2000000.0,2011.0
Irfan Pathan,Delhi Daredevils,1900000.0,2011.0
Yuvraj Singh,Pune Warriors,1800000.0,2011.0
Saurabh Tiwary,Royal Challengers Bangalore,1600000.0,2011.0
Mahela Jayawardene,Kochi Tuskers Kerala,1500000.0,2011.0
David Hussey,Kings XI Punjab,1400000.0,2011.0
Dale Steyn,Deccan Chargers,1200000.0,2011.0
Muttiah Muralitharan,Kochi Tuskers Kerala,1100000.0,2011.0
Cameron White,Deccan Chargers,1100000.0,2011.0
Jacques Kallis,Kolkata Knight Riders,1100000.0,2011.0
AB de Villiers,Royal Challengers Bangalore,1100000.0,2011.0
Ross Taylor,Rajasthan Royals,1000000.0,2011.0
Angelo Mathews,Pune Warriors,950000.0,2011.0
Ravindra Jadeja,Kochi Tuskers Kerala,950000.0,2011.0
Johan Botha,Rajasthan Royals,950000.0,2011.0
Dinesh Karthik,Kings XI Punjab,900000.0,2011.0
Piyush Chawla,Kings XI Punjab,900000.0,2011.0
Sreesanth,Kochi Tuskers Kerala,900000.0,2011.0
Adam Gilchrist,Kings XI Punjab,900000.0,2011.0
Zaheer Khan,Royal Challengers Bangalore,900000.0,2011.0
Dan Christian,Deccan Chargers,900000.0,2011.0
Ravichandran Ashwin,Chennai Super Kings,850000.0,2011.0
Ashish Nehra,Pune Warriors,850000.0,2011.0
Andrew Symonds,Mumbai Indians,850000.0,2011.0
Subramaniam Badrinath,Chennai Super Kings,800000.0,2011.0
Praveen Kumar,Kings XI Punjab,800000.0,2011.0
Abhishek Nayar,Kings XI Punjab,800000.0,2011.0
David Warner,Delhi Daredevils,750000.0,2011.0
Umesh Yadav,Delhi Daredevils,750000.0,2011.0
Munaf Patel,Mumbai Indians,700000.0,2011.0
Venugopal Rao,Delhi Daredevils,700000.0,2011.0
Kumar Sangakkara,Deccan Chargers,700000.0,2011.0
Cheteshwar Pujara,Royal Challengers Bangalore,700000.0,2011.0
Doug Bollinger,Chennai Super Kings,700000.0,2011.0
Dirk Nannes,Royal Challengers Bangalore,650000.0,2011.0
Tillakaratne Dilshan,Royal Challengers Bangalore,650000.0,2011.0
Kevin Pietersen,Deccan Chargers,650000.0,2011.0
Daniel Vettori,Royal Challengers Bangalore,550000.0,2011.0
Pragyan Ojha,Deccan Chargers,500000.0,2011.0
Rahul Dravid,Rajasthan Royals,500000.0,2011.0
Graeme Smith,Pune Warriors,500000.0,2011.0
RP Singh,Kochi Tuskers Kerala,500000.0,2011.0
Lakshmipathy Balaji,Kolkata Knight Riders,500000.0,2011.0
Manoj Tiwari,Kolkata Knight Riders,475000.0,2011.0
Morné Morkel,Delhi Daredevils,475000.0,2011.0
Brendon McCullum,Kochi Tuskers Kerala,475000.0,2011.0
Vinay Kumar,Kochi Tuskers Kerala,475000.0,2011.0
Ishant Sharma,Deccan Chargers,450000.0,2011.0
Brad Hodge,Kochi Tuskers Kerala,425000.0,2011.0
Shakib Al Hasan,Kolkata Knight Riders,425000.0,2011.0
Michael Hussey,Chennai Super Kings,425000.0,2011.0
Brett Lee,Kolkata Knight Riders,400000.0,2011.0
Shaun Marsh,Kings XI Punjab,400000.0,2011.0
Stuart Broad,Kings XI Punjab,400000.0,2011.0
VVS Laxman,Kochi Tuskers Kerala,400000.0,2011.0
Murali Kartik,Pune Warriors,400000.0,2011.0
Ashok Dinda,Delhi Daredevils,375000.0,2011.0
Eoin Morgan,Kolkata Knight Riders,350000.0,2011.0
James Hopes,Delhi Daredevils,350000.0,2011.0
Ryan Harris,Kings XI Punjab,325000.0,2011.0
Brad Haddin,Kolkata Knight Riders,325000.0,2011.0
Callum Ferguson,Pune Warriors,300000.0,2011.0
Aaron Finch,Delhi Daredevils,300000.0,2011.0
Amit Mishra,Deccan Chargers,300000.0,2011.0
Shikhar Dhawan,Deccan Chargers,300000.0,2011.0
JP Duminy,Deccan Chargers,300000.0,2011.0
Shaun Tait,Rajasthan Royals,300000.0,2011.0
Parthiv Patel,Kochi Tuskers Kerala,290000.0,2011.0
Mitchell Marsh,Pune Warriors,290000.0,2011.0
Manpreet Gony,Deccan Chargers,290000.0,2011.0
Naman Ojha,Delhi Daredevils,270000.0,2011.0
Tim Paine,Pune Warriors,270000.0,2011.0
Abhimanyu Mithun,Royal Challengers Bangalore,260000.0,2011.0
Jaydev Unadkat,Kolkata Knight Riders,250000.0,2011.0
Paul Collingwood,Rajasthan Royals,250000.0,2011.0
Sudeep Tyagi,Chennai Super Kings,240000.0,2011.0
Ajit Agarkar,Delhi Daredevils,210000.0,2011.0
Steve Smith,Pune Warriors,200000.0,2011.0
Dwayne Bravo,Chennai Super Kings,200000.0,2011.0
Owais Shah,Kochi Tuskers Kerala,200000.0,2011.0
Scott Styris,Chennai Super Kings,200000.0,2011.0
Davy Jacobs,Mumbai Indians,190000.0,2011.0
Ramesh Powar,Kochi Tuskers Kerala,180000.0,2011.0
Wayne Parnell,Pune Warriors,160000.0,2011.0
Ryan ten Doeschate,Kolkata Knight Riders,150000.0,2011.0
Jesse Ryder,Pune Warriors,150000.0,2011.0
Joginder Sharma,Chennai Super Kings,150000.0,2011.0
Charl Langeveldt,Royal Challengers Bangalore,140000.0,2011.0
Mohammad Kaif,Royal Challengers Bangalore,130000.0,2011.0
Francois du Plessis,Chennai Super Kings,120000.0,2011.0
Clint McKay,Mumbai Indians,110000.0,2011.0
Nathan McCullum,Pune Warriors,100000.0,2011.0
James Franklin,Mumbai Indians,100000.0,2011.0
Wriddhiman Saha,Chennai Super Kings,100000.0,2011.0
Jerome Taylor,Pune Warriors,100000.0,2011.0
James Pattinson,Kolkata Knight Riders,100000.0,2011.0
Alfonso Thomas,Pune Warriors,100000.0,2011.0
Nuwan Kulasekara,Chennai Super Kings,100000.0,2011.0
Matthew Wade,Delhi Daredevils,100000.0,2011.0
Dimitri Mascarenhas,Kings XI Punjab,100000.0,2011.0
Colin Ingram,Delhi Daredevils,100000.0,2011.0
Ben Hilfenhaus,Chennai Super Kings,100000.0,2011.0
Pankaj Singh,Rajasthan Royals,95000.0,2011.0
Rusty Theron,Deccan Chargers,85000.0,2011.0
Suraj Randiv,Chennai Super Kings,80000.0,2011.0
John Hastings,Kochi Tuskers Kerala,20000.0,2011.0
Andrew McDonald,Delhi Daredevils,80000.0,2011.0
Thissara Perera,Kochi Tuskers Kerala,80000.0,2011.0
Michael Lumb,Deccan Chargers,80000.0,2011.0
Michael Klinger,Kochi Tuskers Kerala,75000.0,2011.0
Johan van der Wath,Royal Challengers Bangalore,50000.0,2011.0
Moises Henriques,Mumbai Indians,50000.0,2011.0
George Bailey,Chennai Super Kings,50000.0,2011.0
Roelof van der Merwe,Delhi Daredevils,50000.0,2011.0
Luke Pomersbach,Royal Challengers Bangalore,50000.0,2011.0
Rilee Rossouw,Royal Challengers Bangalore,20000.0,2011.0
Nuwan Pradeep,Royal Challengers Bangalore,20000.0,2011.0
Chris Lynn,Deccan Chargers,20000.0,2011.0
Travis Birt,Delhi Daredevils,20000.0,2011.0
Nathan Rimmington,Kings XI Punjab,20000.0,2011.0
Jonathan Vandiar,Royal Challengers Bangalore,20000.0,2011.0
Aiden Blizzard,Mumbai Indians,20000.0,2011.0
Robert Frylinck,Delhi Daredevils,20000.0,2011.0
Stephen O'Keefe,Kochi Tuskers Kerala,20000.0,2011.0
Brendon McCullum,Kolkata Knight Riders,900000.0,2012.0
Ravindra Jadeja,Chennai Super Kings,2000000.0,2012.0
Muttiah Muralitharan,Royal Challengers Bangalore,220000.0,2012.0
Mahela Jayawardene,Delhi Daredevils,1400000.0,2012.0
Herschelle Gibbs,Mumbai Indians,50000.0,2012.0
Brad Hodge,Rajasthan Royals,475000.0,2012.0
Parthiv Patel,Deccan Chargers,650000.0,2012.0
Dinesh Chandimal,Rajasthan Royals,50000.0,2012.0
Andre Russell,Delhi Daredevils,450000.0,2012.0
Mitchell Johnson,Mumbai Indians,300000.0,2012.0
R. P. Singh,Mumbai Indians,600000.0,2012.0
Vinay Kumar,Royal Challengers Bangalore,1000000.0,2012.0
Sreesanth,Rajasthan Royals,400000.0,2012.0
Ramesh Powar,Kings XI Punjab,160000.0,2012.0
Brad Hogg,Rajasthan Royals,180000.0,2012.0
Sunil Narine,Kolkata Knight Riders,700000.0,2012.0
Robin Peterson,Mumbai Indians,100000.0,2012.0
Daniel Harris,Deccan Chargers,70000.0,2012.0
Kevon Cooper,Rajasthan Royals,50000.0,2012.0
James Faulkner,Kings XI Punjab,190000.0,2012.0
Azhar Mahmood,Kings XI Punjab,200000.0,2012.0
Thisara Perera,Mumbai Indians,650000.0,2012.0
